cnpj,ticker,ano,setor,receita_liq,ebit,ebitda,lucro_liq,pl,divida_liq,ativo_total,roe,roic,margem_liq,margem_ebitda,div_ebitda,cresc_receita,pl_multiplo,pvpa,ev_ebitda,dy,mkt_cap,label,selic_ano,var_selic_ano,ipca_ano,var_cambio_ano,pib_var_ano,risco_divida_selic,impulso_pib
21.314.559/0001-66,MOVI3.SA,2015,Industrial,1213502000.0,152020000.0,136561000.0,67050000.0,794489000.0,775904000.0,2618609000.0,0.0843938682599759,0.0715380757321013,0.0552533081939708,0.1125346311748971,5.681739295992268,19.136767170569005,,,,,,,13.366666666666667,2.5108333333333324,0.96,0.4700700248475264,-3.55,14.265900415687248,-3.55
21.314.559/0001-66,MOVI3.SA,2016,Industrial,1893180000.0,191282000.0,206059000.0,39697000.0,721765000.0,916675000.0,2789713000.0,0.0549998960880619,0.0760649266842235,0.0209684234990861,0.1088427936065244,4.448604525888216,0.5600963162813082,,,,,,,14.079166666666667,0.7125000000000004,0.3,-0.1653605818479818,-3.28,3.1696307246953555,-3.28
21.314.559/0001-66,MOVI3.SA,2017,Industrial,2467983000.0,252108000.0,252108000.0,66466000.0,1284840000.0,1077431000.0,4006470000.0,0.0517309548270601,0.0776883965403746,0.0269313038217848,0.102151432971783,4.273688260586733,0.3036177225620384,30.062237505387223,1.5551482503915408,12.199325995339564,0.0960999999999999,1998116678.0330672,1.0,10.079166666666667,-4.0,0.44,0.0150041422478597,1.32,-17.09475304234693,1.32
21.314.559/0001-66,MOVI3.SA,2018,Industrial,2538599000.0,379727000.0,379727000.0,159754000.0,1658842000.0,1453781000.0,5192301000.0,0.0963045305098375,0.0941776945849435,0.0629299861852935,0.1495813241870811,3.828489941457942,0.0286128389052922,16.025368448695602,1.5433155846987945,10.570482770919416,0.0960999999999999,2560116711.1529174,1.0,6.483333333333334,-3.595833333333333,0.15,0.1713422007255138,1.78,-13.76661174782585,1.78
21.314.559/0001-66,MOVI3.SA,2019,Industrial,3836044000.0,468188000.0,468188000.0,227815000.0,2300999000.0,2097080000.0,7242817000.0,0.0990069965262914,0.0863480966884057,0.0593880049342499,0.1220496949461476,4.4791408579459535,0.5110870208331446,25.650823217037125,2.5396109651457093,16.960542113828872,0.0960999999999999,5843642291.189312,1.0,5.940000000000001,-0.543333333333333,1.15,0.0402343346753382,1.22,-2.4336665328173,1.22
21.314.559/0001-66,MOVI3.SA,2020,Industrial,4085259000.0,304301000.0,362716000.0,109027000.0,2358680000.0,2714451000.0,8502627000.0,0.0462237353095799,0.0470543396378687,0.0266879039982532,0.08878653715713,7.483681447744241,0.0649666687869066,58.26841452039931,2.693383769699822,24.998294615940782,0.0960999999999999,6352830429.915576,0.0,2.789166666666666,-3.150833333333335,1.35,0.2892797777061056,-3.28,-23.579832961600825,-3.28
21.314.559/0001-66,MOVI3.SA,2021,Industrial,5332623000.0,1666736000.0,1697235000.0,819439000.0,3284472000.0,6979214000.0,21715853000.0,0.2494888067244902,0.1126022652974302,0.1536652787943194,0.3182739526120635,4.112108223080481,0.3053329054534852,6.09211323313946,1.51991406096644,7.053430535930833,0.0960999999999999,4992115175.650566,0.0,4.4191666666666665,1.6300000000000003,0.73,0.0738545615486752,4.76,6.702736403621186,4.76
21.314.559/0001-66,MOVI3.SA,2022,Industrial,9600029000.0,2416748000.0,2482083000.0,556406000.0,2768683000.0,10896443000.0,26248880000.0,0.2009641407123892,0.137548270033744,0.0579587832495089,0.258549531464957,4.390039736785595,0.8002452076585951,4.805003001927381,0.9656332994027872,5.467172330776371,0.0960999999999999,2673532500.2904067,1.0,12.430833333333334,8.011666666666667,0.62,-0.0650120956903503,3.02,35.17153502454726,3.02
21.314.559/0001-66,MOVI3.SA,2023,Industrial,10342015000.0,1261567000.0,5905407000.0,-650851000.0,2522137000.0,12300694000.0,25119493000.0,-0.2580553712982284,0.1040230366428213,-0.0629327070208271,0.5710112584443167,2.082954485609544,0.077289974853201,-6.480814405068979,1.672408967614983,2.797222703931084,0.0960999999999999,4218044536.35355,0.0,13.2,0.769166666666667,0.56,-0.0721390651053145,3.24,1.602139158514675,3.24
21.314.559/0001-66,MOVI3.SA,2024,Industrial,13481270000.0,2620072000.0,9055547000.0,231493000.0,2492492000.0,16200151000.0,30573857000.0,0.0928761255803428,0.104830450304022,0.0171714534313161,0.6717131991273819,1.788975420258986,0.3035438451791068,5.660048190189722,0.5256833465028531,1.9336670148906068,0.0960999999999999,1310261535.6915894,,10.839166666666667,-2.360833333333332,0.52,0.2790572780038418,3.42,-4.22347280466142,3.42
